
"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     1, "max",  -5206.171,   -9027.512,    980.840,  51336.497, 5656620.160, 7509442.851
     1, "min",  -5206.171,   -9027.512,    980.840,  51336.497, 2714099.629, -19573094.194
     2, "max", -20000.000,  -11944.975,     -0.000,  50605.592,     -0.000, 13331748.967
     2, "min", -20000.000,  -11944.975,     -0.000,  50605.592,     -0.000, -22503176.943
     3, "max", -34793.829,   -9027.512,   -980.840,  51336.497, -2714099.629, 7509442.851
     3, "min", -34793.829,   -9027.512,   -980.840,  51336.497, -5656620.160, -19573094.194
     4, "max", -13832.728,   -7930.451,    959.199, 108079.309, 2784526.362, 13258891.576
     4, "min", -13832.728,   -7930.451,    959.199, 108079.309, -93071.188, -10532460.725
     5, "max", -20000.000,  -14139.098,     -0.000, 110247.916,     -0.000, 22820389.978
     5, "min", -20000.000,  -14139.098,     -0.000, 110247.916,     -0.000, -19596905.420
     6, "max", -26167.272,   -7930.451,   -959.199, 108079.309,  93071.188, 13258891.576
     6, "min", -26167.272,   -7930.451,   -959.199, 108079.309, -2784526.362, -10532460.725
     7, "max",   1097.062,    8626.558,     21.641, -70426.732,  56742.812, 18041903.576
     7, "min",   1097.062,    8626.558,     21.641, -70426.732, -29821.162, -16464327.193
     8, "max",  -1097.062,    8626.558,     21.641, -70426.732,  29821.162, 16464327.193
     8, "min",  -1097.062,    8626.558,     21.641, -70426.732, -56742.812, -18041903.576
     9, "max",  -2069.549,    6167.272,    -40.801, -93071.188,  55123.958, 13258891.576
     9, "min",  -2069.549,    6167.272,    -40.801, -93071.188, -108079.309, -11410194.989
    10, "max",   2069.549,    6167.272,    -40.801, -93071.188, 108079.309, 11410194.989
    10, "min",   2069.549,    6167.272,    -40.801, -93071.188, -55123.958, -13258891.576
